cluster,cluster_label,cluster_shot_rate,game_id,possession_id,season,fixture,team_in_possession,period,minute,n_actions,duration_s,start_zone,end_zone,directness,xt_gain,set_piece_start,ends_in_shot,sensible_y_n,reviewer_note
0,open-play brief direct from middle third,0.001,3754149,18,2015-2016,Swansea City vs Manchester City,Swansea City,1,6.9,3,4.6,middle,middle,0.167,-0.0,True,False,,
0,open-play brief direct from middle third,0.001,3754158,20,2015-2016,West Ham United vs Swansea City,West Ham United,1,7.5,3,4.5,final,final,-0.331,-0.0129,True,False,,
0,open-play brief direct from middle third,0.001,3753992,108,2015-2016,Tottenham Hotspur vs Southampton,Tottenham Hotspur,1,39.8,4,4.7,middle,final,0.963,0.0028,False,False,,
0,open-play brief direct from middle third,0.001,3754307,106,2015-2016,Manchester City vs Stoke City,Stoke City,1,44.7,5,14.7,middle,middle,0.01,-0.0038,False,False,,
0,open-play brief direct from middle third,0.001,3754155,209,2015-2016,West Bromwich Albion vs Watford,Watford,2,68.3,3,4.9,middle,middle,0.389,0.0,False,False,,
0,open-play brief direct from middle third,0.001,3754041,204,2015-2016,Arsenal vs Aston Villa,Aston Villa,2,91.7,3,2.1,defensive,defensive,0.124,0.0001,False,False,,
1,"open-play long from middle third, high threat",0.1581,3754033,31,2015-2016,Leicester City vs Everton,Leicester City,1,12.9,10,22.8,defensive,final,0.614,0.023,False,False,,
1,"open-play long from middle third, high threat",0.1581,3754308,64,2015-2016,Watford vs Sunderland,Watford,1,21.4,13,38.6,final,final,0.114,0.0088,False,False,,
1,"open-play long from middle third, high threat",0.1581,3754172,83,2015-2016,Norwich City vs Sunderland,Norwich City,1,24.6,11,35.3,defensive,final,0.423,0.0217,False,True,,
1,"open-play long from middle third, high threat",0.1581,3754307,87,2015-2016,Manchester City vs Stoke City,Manchester City,1,32.9,12,38.7,middle,final,0.409,-0.0203,False,False,,
1,"open-play long from middle third, high threat",0.1581,3754342,109,2015-2016,Liverpool vs Watford,Liverpool,1,44.6,12,31.7,middle,middle,-0.042,-0.0016,False,False,,
1,"open-play long from middle third, high threat",0.1581,3754092,201,2015-2016,Chelsea vs Tottenham Hotspur,Tottenham Hotspur,2,75.1,12,29.6,middle,final,0.189,0.0565,False,True,,
2,set-piece from middle third,0.059,3754225,1,2015-2016,AFC Bournemouth vs West Bromwich Albion,AFC Bournemouth,1,0.3,4,4.9,defensive,defensive,0.188,-0.0011,True,False,,
2,set-piece from middle third,0.059,3754024,22,2015-2016,Newcastle United vs Swansea City,Newcastle United,1,6.6,3,2.5,final,final,0.132,-0.0012,True,False,,
2,set-piece from middle third,0.059,3754165,67,2015-2016,Manchester United vs Leicester City,Manchester United,1,23.6,3,4.4,defensive,middle,0.696,0.0033,False,False,,
2,set-piece from middle third,0.059,3754159,73,2015-2016,Manchester United vs AFC Bournemouth,Manchester United,1,28.2,3,11.8,middle,final,0.637,0.0011,True,False,,
2,set-piece from middle third,0.059,3754033,75,2015-2016,Leicester City vs Everton,Leicester City,1,32.0,4,12.1,middle,final,0.857,0.0016,True,True,,
2,set-piece from middle third,0.059,3754187,131,2015-2016,Stoke City vs Tottenham Hotspur,Tottenham Hotspur,1,45.8,3,3.9,middle,final,0.456,-0.0053,True,False,,
3,open-play long from middle third,0.1257,3754123,85,2015-2016,Everton vs Norwich City,Norwich City,1,32.1,6,18.1,middle,final,0.821,0.0093,True,False,,
3,open-play long from middle third,0.1257,3754063,135,2015-2016,Watford vs Aston Villa,Aston Villa,2,49.1,7,13.6,defensive,final,0.955,-0.0285,False,True,,
3,open-play long from middle third,0.1257,3754216,196,2015-2016,AFC Bournemouth vs Liverpool,AFC Bournemouth,2,62.3,7,21.6,middle,final,0.336,0.1128,False,True,,
3,open-play long from middle third,0.1257,3754210,201,2015-2016,Norwich City vs Manchester United,Manchester United,2,71.1,5,14.4,defensive,final,0.74,0.0752,False,True,,
3,open-play long from middle third,0.1257,3754314,220,2015-2016,Manchester City vs Arsenal,Arsenal,2,74.6,6,10.4,middle,final,0.319,0.002,True,False,,
3,open-play long from middle third,0.1257,3754227,225,2015-2016,Leicester City vs West Ham United,West Ham United,2,80.1,5,14.6,defensive,final,0.788,0.0016,False,False,,
4,lateral from middle third,0.2954,3754048,19,2015-2016,Crystal Palace vs Everton,Everton,1,5.9,4,8.3,middle,middle,0.012,0.0007,False,False,,
4,lateral from middle third,0.2954,3754207,42,2015-2016,Norwich City vs Watford,Watford,1,16.2,5,8.8,defensive,middle,0.438,0.0049,False,False,,
4,lateral from middle third,0.2954,3754225,76,2015-2016,AFC Bournemouth vs West Bromwich Albion,West Bromwich Albion,1,27.4,5,6.3,middle,defensive,-1.0,0.0065,False,True,,
4,lateral from middle third,0.2954,3754037,84,2015-2016,Everton vs AFC Bournemouth,AFC Bournemouth,1,35.5,4,2.1,defensive,defensive,0.132,0.0482,True,True,,
4,lateral from middle third,0.2954,3753992,170,2015-2016,Tottenham Hotspur vs Southampton,Southampton,2,60.2,7,17.9,final,final,0.103,-0.0035,False,True,,
4,lateral from middle third,0.2954,3754137,188,2015-2016,Everton vs Southampton,Southampton,2,78.9,9,22.9,final,final,-0.026,0.0046,True,True,,
5,"brief direct from middle third, high threat",0.2857,3754037,49,2015-2016,Everton vs AFC Bournemouth,AFC Bournemouth,1,20.7,3,9.5,defensive,final,1.0,0.0043,False,False,,
5,"brief direct from middle third, high threat",0.2857,3754033,67,2015-2016,Leicester City vs Everton,Everton,1,27.9,4,11.6,defensive,middle,0.419,-0.0009,False,False,,
5,"brief direct from middle third, high threat",0.2857,3754216,94,2015-2016,AFC Bournemouth vs Liverpool,AFC Bournemouth,1,30.1,3,6.3,defensive,middle,1.0,0.0013,False,False,,
5,"brief direct from middle third, high threat",0.2857,3753992,94,2015-2016,Tottenham Hotspur vs Southampton,Southampton,1,30.2,5,11.0,middle,final,0.557,0.2197,False,True,,
5,"brief direct from middle third, high threat",0.2857,3754307,146,2015-2016,Manchester City vs Stoke City,Manchester City,2,60.2,5,12.6,middle,final,0.767,0.2021,False,True,,
5,"brief direct from middle third, high threat",0.2857,3754033,172,2015-2016,Leicester City vs Everton,Leicester City,2,72.0,4,8.7,defensive,middle,0.847,0.006,False,False,,
6,set-piece direct from defensive third,0.0568,3754342,56,2015-2016,Liverpool vs Watford,Liverpool,1,24.8,7,16.8,defensive,final,0.64,0.0039,True,False,,
6,set-piece direct from defensive third,0.0568,3754134,152,2015-2016,West Ham United vs Manchester United,Manchester United,2,54.4,4,12.8,defensive,final,0.975,-0.0055,True,False,,
6,set-piece direct from defensive third,0.0568,3754184,147,2015-2016,Arsenal vs Norwich City,Norwich City,2,64.4,4,8.9,defensive,middle,0.672,0.0009,True,False,,
6,set-piece direct from defensive third,0.0568,3754225,180,2015-2016,AFC Bournemouth vs West Bromwich Albion,West Bromwich Albion,2,66.8,4,8.7,defensive,middle,0.774,0.0036,True,False,,
6,set-piece direct from defensive third,0.0568,3754042,163,2015-2016,West Bromwich Albion vs Liverpool,Liverpool,2,66.9,5,10.7,defensive,final,0.55,0.0046,True,False,,
