cluster,cluster_label,cluster_shot_rate,game_id,possession_id,season,fixture,team_in_possession,period,minute,n_actions,duration_s,start_zone,end_zone,directness,xt_gain,set_piece_start,ends_in_shot,sensible_y_n,reviewer_note
0,set-piece from final third,0.2291,2576208,28,2017-2018,Napoli vs SPAL,Napoli,1,9.2,3,2.6,final,final,0.688,0.0047,False,False,,
0,set-piece from final third,0.2291,2576256,24,2017-2018,Genoa vs SPAL,SPAL,1,11.6,3,3.5,final,final,-0.338,0.0318,True,False,,
0,set-piece from final third,0.2291,2575991,55,2017-2018,Fiorentina vs Bologna,Fiorentina,1,20.9,7,12.4,final,final,0.0,0.0426,True,True,,
0,set-piece from final third,0.2291,2576102,76,2017-2018,Fiorentina vs Sassuolo,Fiorentina,1,29.0,5,14.9,final,final,0.339,0.0175,False,False,,
0,set-piece from final third,0.2291,2576291,152,2017-2018,Udinese vs Crotone,Udinese,2,52.7,4,5.1,final,final,0.176,0.0,True,False,,
0,set-piece from final third,0.2291,2576024,169,2017-2018,Milan vs Roma,Milan,2,61.5,4,6.8,final,final,0.207,0.0655,False,False,,
1,long from middle third,0.1193,2576211,32,2017-2018,Fiorentina vs Chievo,Chievo,1,10.8,9,23.3,defensive,final,0.399,0.0028,True,False,,
1,long from middle third,0.1193,2575993,88,2017-2018,Milan vs Udinese,Udinese,1,40.1,8,16.6,middle,final,0.269,0.0017,True,False,,
1,long from middle third,0.1193,2576268,109,2017-2018,Milan vs Sassuolo,Milan,1,44.6,9,38.3,defensive,final,0.415,0.015,False,False,,
1,long from middle third,0.1193,2576108,180,2017-2018,Torino vs Atalanta,Atalanta,2,61.4,9,30.6,defensive,final,0.493,0.0172,False,False,,
1,long from middle third,0.1193,2576154,137,2017-2018,Cagliari vs Juventus,Cagliari,2,64.9,11,28.8,defensive,final,0.258,-0.0002,True,False,,
1,long from middle third,0.1193,2576171,189,2017-2018,Napoli vs Bologna,Bologna,2,80.1,7,14.0,defensive,final,0.547,0.0013,False,False,,
2,"long from middle third, high threat",0.6767,2576086,29,2017-2018,SPAL vs Fiorentina,Fiorentina,1,11.8,13,31.2,middle,final,0.256,0.1776,True,False,,
2,"long from middle third, high threat",0.6767,2576185,55,2017-2018,Hellas Verona vs Roma,Roma,1,17.7,5,11.3,final,final,0.248,0.1356,False,False,,
2,"long from middle third, high threat",0.6767,2576089,110,2017-2018,Atalanta vs Benevento,Benevento,1,38.9,12,30.5,middle,final,0.193,0.1141,False,True,,
2,"long from middle third, high threat",0.6767,2576094,180,2017-2018,Juventus vs Crotone,Juventus,2,70.5,5,6.5,final,final,0.0,0.3089,True,True,,
2,"long from middle third, high threat",0.6767,2576336,200,2017-2018,Sassuolo vs Roma,Sassuolo,2,75.0,4,6.2,middle,final,1.0,0.1148,False,False,,
2,"long from middle third, high threat",0.6767,2576017,226,2017-2018,Sassuolo vs Bologna,Sassuolo,2,88.2,11,14.7,defensive,final,0.755,0.1076,True,True,,
3,lateral from middle third,0.0614,2575993,0,2017-2018,Milan vs Udinese,Milan,1,0.0,6,18.8,middle,middle,0.042,-0.0027,False,False,,
3,lateral from middle third,0.0614,2576002,6,2017-2018,Cagliari vs Sassuolo,Cagliari,1,1.1,4,6.8,middle,middle,-0.2,-0.0025,True,False,,
3,lateral from middle third,0.0614,2576202,7,2017-2018,Lazio vs Hellas Verona,Lazio,1,2.7,9,35.2,final,defensive,-0.256,0.0115,True,False,,
3,lateral from middle third,0.0614,2576062,12,2017-2018,Milan vs Juventus,Juventus,1,3.7,3,5.1,defensive,defensive,-0.504,-0.0007,False,False,,
3,lateral from middle third,0.0614,2576303,13,2017-2018,Torino vs Lazio,Lazio,1,4.0,4,6.4,middle,middle,-0.059,-0.0005,False,False,,
3,lateral from middle third,0.0614,2576225,188,2017-2018,Lazio vs Juventus,Juventus,2,76.6,12,31.5,middle,defensive,-0.15,0.0033,False,False,,
4,open-play direct from middle third,0.2195,2575995,7,2017-2018,Roma vs Hellas Verona,Roma,1,2.7,4,5.9,middle,final,0.638,0.0131,False,True,,
4,open-play direct from middle third,0.2195,2576248,38,2017-2018,Udinese vs Sassuolo,Udinese,1,12.7,4,8.1,middle,final,0.808,0.076,False,False,,
4,open-play direct from middle third,0.2195,2575969,138,2017-2018,Benevento vs Bologna,Bologna,2,54.1,5,10.1,middle,final,0.696,0.0075,False,True,,
4,open-play direct from middle third,0.2195,2576246,188,2017-2018,SPAL vs Juventus,Juventus,2,80.7,7,11.8,defensive,final,0.555,0.0533,False,True,,
4,open-play direct from middle third,0.2195,2576143,230,2017-2018,Fiorentina vs Milan,Milan,2,84.5,3,4.1,middle,final,0.824,0.0038,False,False,,
4,open-play direct from middle third,0.2195,2576150,205,2017-2018,Torino vs Bologna,Bologna,2,84.5,4,10.6,defensive,final,1.0,0.0263,True,True,,
5,"long lateral from middle third, high threat",0.1934,2576082,101,2017-2018,Internazionale vs Atalanta,Internazionale,1,38.3,17,57.2,defensive,final,0.302,0.1168,True,False,,
5,"long lateral from middle third, high threat",0.1934,2576309,154,2017-2018,Lazio vs Atalanta,Atalanta,2,59.8,16,47.3,middle,final,0.101,0.0116,True,False,,
5,"long lateral from middle third, high threat",0.1934,2575988,165,2017-2018,Udinese vs Genoa,Genoa,2,60.0,28,162.2,defensive,final,0.165,0.0074,True,False,,
5,"long lateral from middle third, high threat",0.1934,2576105,151,2017-2018,Napoli vs Juventus,Napoli,2,62.3,24,56.6,middle,final,0.099,0.0114,False,False,,
5,"long lateral from middle third, high threat",0.1934,2575994,166,2017-2018,Napoli vs Benevento,Napoli,2,73.6,35,78.9,middle,final,0.091,0.0177,True,True,,
5,"long lateral from middle third, high threat",0.1934,2576221,194,2017-2018,Torino vs Crotone,Torino,2,83.6,24,63.1,middle,final,0.106,0.004,True,False,,
6,set-piece brief direct from defensive third,0.034,2576161,15,2017-2018,Hellas Verona vs Crotone,Hellas Verona,1,5.9,3,6.6,middle,final,0.467,0.0007,True,False,,
6,set-piece brief direct from defensive third,0.034,2576205,40,2017-2018,Udinese vs Roma,Roma,1,13.0,3,7.7,defensive,middle,0.548,0.001,False,False,,
6,set-piece brief direct from defensive third,0.034,2576066,61,2017-2018,SPAL vs Genoa,SPAL,1,20.3,4,14.1,middle,final,0.361,0.0004,False,False,,
6,set-piece brief direct from defensive third,0.034,2575974,64,2017-2018,Milan vs Cagliari,Milan,1,27.9,5,10.9,middle,final,0.347,0.0092,True,False,,
6,set-piece brief direct from defensive third,0.034,2576070,125,2017-2018,Bologna vs Crotone,Bologna,2,48.4,3,6.7,defensive,final,0.886,0.0016,False,False,,
6,set-piece brief direct from defensive third,0.034,2576003,213,2017-2018,Genoa vs Chievo,Chievo,2,83.4,3,19.6,defensive,final,0.642,0.0091,False,False,,
7,open-play brief direct from defensive third,0.0025,2576001,68,2017-2018,Bologna vs Internazionale,Internazionale,1,25.0,3,5.0,defensive,defensive,0.664,-0.0001,False,False,,
7,open-play brief direct from defensive third,0.0025,2575961,100,2017-2018,Crotone vs Milan,Crotone,2,48.3,3,4.9,middle,final,0.108,-0.0037,True,False,,
7,open-play brief direct from defensive third,0.0025,2576229,138,2017-2018,Bologna vs Atalanta,Atalanta,2,48.6,7,11.2,defensive,middle,0.076,-0.0024,False,False,,
7,open-play brief direct from defensive third,0.0025,2576001,161,2017-2018,Bologna vs Internazionale,Internazionale,2,61.4,3,6.8,defensive,middle,0.308,-0.0053,False,False,,
7,open-play brief direct from defensive third,0.0025,2576085,162,2017-2018,Sampdoria vs Juventus,Sampdoria,2,67.8,4,7.7,defensive,middle,0.465,0.0015,False,False,,
7,open-play brief direct from defensive third,0.0025,2576053,226,2017-2018,Fiorentina vs Torino,Torino,2,86.0,4,8.7,middle,final,0.559,0.0029,True,False,,
